Cluster Code,Cluster Name,MPOO Code,Finance Nbr,Unit Name,Nbr of Rts,Earned Rts Equivalent Workload,Actual Rts Equivalent Workhours,Rts Pivot Opportunity Plan,Rts Pivot Performance Actual,Pivot Opportunity % Achieved,Nbr of Delivery Days,Begin Date,End Date
 020,MA-RI DISTRICT,G, 243145,HALIFAX PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 246851,SHARON PO,13.47,12.31,11.75,1.16,1.72,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 242805,FRANKLIN PO,15.5,14.19,15.92,1.31,-0.42,0,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 244386,MARSHFIELD PO,8.42,7.23,7.9,1.19,0.51,43.02,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 248364,WALPOLE PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 240612,BELLINGHAM PO,9.42,8.28,8.65,1.14,0.77,67.18,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 244301,MANOMET PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 244488,MEDFIELD PO,4.4,4,3.79,0.41,0.61,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 241989,EAST BRIDGEWATER PO,18.7,16.35,17.19,2.35,1.52,64.39,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 247922,STOUGHTON PO,20,18.59,19.02,1.41,0.98,69.48,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 240374,AVON PO,4.63,3.82,3.91,0.81,0.72,89.6,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 240956,BROCKTON MA SDC,63.97,55.62,58.26,8.35,5.71,68.4,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 246239,PLYMOUTH PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 241071,CANTON PO,19.08,17.39,17.16,1.69,1.92,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 241751,DEDHAM PO,24.05,23.06,24.35,0.98,-0.3,0,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 241938,DUXBURY PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 243502,HOLBROOK PO,7.91,7.02,7.82,0.89,0.09,9.96,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 244505,MEDWAY PO,5.43,5.04,5.02,0.39,0.4,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 245814,NORWELL PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 244574,MID-LAKEVILLE FINANCE BRA,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 249401,WHITMAN PO,10.76,9.33,10.2,1.43,0.56,39.3,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 242771,FOXBORO PO,26.53,24.52,24.5,2,2.02,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 244318,MANSFIELD PO,11.62,10.53,10.66,1.09,0.95,87.7,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 244692,MILLIS PO,3.73,3.42,4.09,0.32,-0.36,0,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 243468,HINGHAM PO,42.65,37.69,41.15,4.95,1.49,30.14,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 242414,EAST WALPOLE PO,4.35,3.56,3.56,0.79,0.79,99.97,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 241496,COHASSET PO,8.21,7.32,6.99,0.89,1.22,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 246242,PLY-KINGSTON BR,5.57,5.33,5.39,0.24,0.18,76.07,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 243213,HANOVER PO,9.02,9.23,9.31,-0.21,-0.3,0,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 246783,SCITUATE PO,17.21,15.32,16.81,1.89,0.4,21.04,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 243675,HULL PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 245831,NORWOOD PO,40.73,36.83,39.64,3.89,1.09,27.87,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 245440,NORTH EASTON PO,5,4.16,4.39,0.84,0.61,72.45,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 246511,ROCKLAND PO,13.47,11.97,12.83,1.5,0.64,42.44,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 240952,BROCKTON PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 241105,CARVER PO,0,0,0,0,0,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 246358,RANDOLPH PO,20.14,18.75,19.37,1.39,0.77,55.4,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 244573,MIDDLEBORO PO,9.23,8.7,8.71,0.53,0.52,98.49,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 246244,PLY-PLYMOUTH RURAL ANX,17.76,17.48,16.71,0.28,1.05,100,11,11/22/2025,12/5/2025
 020,MA-RI DISTRICT,G, 245168,ABINGTON PO,14.69,12.84,13.76,1.84,0.93,50.3,11,11/22/2025,12/5/2025
